,Gen,Price,Mismatch,Num_TF,Num_VI,Num_NT,Mean_TF,Mean_VI,Mean_NT,Dividends,RDiv,WShare_TF,WShare_VI,WShare_NT,Pos+,Pos-,Rep,Volume,NT_cash,NT_lending,NT_loans,NT_nav,NT_pnl,NT_signal,NT_stocks,VI_cash,VI_lending,VI_loans,VI_nav,VI_pnl,VI_signal,VI_stocks,TF_cash,TF_lending,TF_loans,TF_nav,TF_pnl,TF_signal,TF_stocks
0,0.0,111.66,381.10422544638277,1.0,1.0,2.0,2.0,111.74341287156382,111.74341287156382,0.0039896667462540805,0.2594393036942124,25.0,25.0,50.0,1999999.9999999998,0.0,0.0,1496041.3572002829,79254994.28955147,0.0,0.0,100000000.0,0.0,110.4627295050727,26579100.271753773,11166.0,0.0,33530175.785891738,100000000.0,0.0,111.74341287156382,139353988.97249177,75026267.36524056,0.0,0.0,100000000.0,0.0,0.0,30807810.48400064
1,1.0,101.94,511.4995563860575,1.0,1.0,2.0,2.0,101.04346119449573,101.04346119449573,0.003981151297576986,-0.3450899181251114,24.999944798060213,25.00015771042902,49.99989749151077,1999999.9999999995,0.0,0.0,278881.68554763595,86366391.21069595,0.0,0.0,105834094.56130524,0.0,98.445860246666,17158090.55102412,10194.0,0.0,43275653.70013887,105834979.18660003,0.0,101.04346119449573,136975027.2953723,70567540.02770114,0.0,0.0,105834077.8492412,0.0,0.0,32588791.602579433
2,2.0,99.83,503.8250040617422,1.0,1.0,2.0,2.0,100.82779646290741,100.82779646290741,0.004029719057507704,1.930330568346215,25.53912746072815,23.200326662274097,51.260545876997746,1999999.9999999998,17610.004758922383,0.0,674592.0244791835,72080607.5939365,0.0,0.0,103524481.76172006,0.0,99.68986708285426,31092843.553398088,9983.0,0.0,48362285.610477686,93709567.59523344,0.0,100.82779646290741,139232319.668287,102485859.69116148,1758006.7750832215,0.0,103156331.63028057,0.0,-0.020698450068667884,0.0
3,3.0,101.79,100.32177899792441,1.0,1.0,2.0,2.0,102.05783768639324,102.05783768639324,0.004004106696984695,-1.0152309344489898,25.311382080399532,22.836770254002534,51.85184766559792,1999999.9999999995,0.0,0.0,512781.04479284445,78359477.94621858,0.0,0.0,103173451.1473346,0.0,100.32503473341586,25428540.333404005,10179.0,0.0,34808422.21571824,90880017.05780932,0.0,102.05783768639324,128417450.44287087,78149862.55880237,0.0,0.0,100727852.91607827,0.0,0.01963337674045884,24305468.89032111
4,4.0,101.99,-131.59990465569717,1.0,1.0,2.0,2.0,101.40917158939757,101.40917158939757,0.003997365675687786,-0.27351985168263826,25.38218393206626,23.19313113143166,51.42468493650211,1999999.9999999998,0.0,0.0,253325.56882675705,82623813.21019706,0.0,0.0,103788018.27962258,0.0,99.54535848313074,21218277.999422945,10199.0,0.0,30405509.397964794,93619207.22715263,0.0,101.40917158939757,124271881.624985,65235574.53958029,0.0,0.0,102455331.44912347,0.0,0.0019648295510363845,37271562.37616908
5,5.0,102.12,-427.0688072208868,1.0,1.0,2.0,2.0,101.23844652208086,101.23844652208086,0.0039479217600431864,-1.9698059614137222,25.36879056961798,23.232870866440106,51.39833856394192,2000000.0,0.0,0.0,204178.58547778486,78708578.22774655,0.0,0.0,103842091.20962,0.0,100.45842284460538,25164654.586788535,10212.0,0.0,27673936.065079562,93876571.2270202,0.0,101.23844652208086,121703510.1761901,70351500.57860665,0.0,0.0,102507136.91574937,0.0,0.0012746347681145132,32207180.650232833
6,6.0,101.39,216.50468696694588,1.0,1.0,2.0,2.0,99.98621552398313,99.98621552398313,0.003916467516638021,-1.2710365558511643,25.364156408681215,23.257317810463476,51.37852578085531,1999999.9999999998,0.0,0.0,96581.8947613507,76610877.49113542,0.0,0.0,103873232.81453508,0.0,100.17930457478585,27086553.22246682,10139.0,0.0,23452614.50968431,94039786.11111054,0.0,99.98621552398313,116616942.20234416,70342525.27547617,0.0,0.0,102558681.22883949,0.0,-0.007148452800626703,31989951.352722187
7,7.0,100.53,-773.0640616468445,1.0,1.0,2.0,2.0,99.18959620085393,99.18959620085393,0.0039055248073044586,-0.44980600927149317,25.39886280533977,23.125849920409888,51.47528727425034,2000000.0,0.0,0.0,123212.35713023972,75620587.12088016,0.0,0.0,103697430.71360224,0.0,99.5552133607764,27851175.426329616,10053.0,0.0,23884304.521742873,93174466.69265985,0.0,99.18959620085393,116064070.79912677,72771581.98898065,0.0,0.0,102332476.62819836,0.0,-0.008482098826314233,29293578.348213986
8,8.0,100.51,622.2223581163562,1.0,1.0,2.0,2.0,98.91245795943398,98.91245795943398,0.003892186620318718,-0.5484160072074608,25.44006499007909,22.978604903887188,51.581330106033725,2000000.0,0.0,0.0,94873.41174869076,73463049.90056475,0.0,0.0,103471762.54720977,0.0,100.16612041562149,30007248.82863141,10051.0,0.0,20089739.048903767,92189819.2773839,0.0,98.91245795943398,112250914.53596012,73308767.12403008,0.0,0.0,102065160.33719464,0.0,-0.0001989455883815161,28754587.80677707
9,9.0,100.64,404.06870711562806,1.0,1.0,2.0,2.0,98.5746511537994,98.5746511537994,0.0039004846221475284,0.33217055285295005,25.44109414164156,22.975306384916443,51.58359947344201,2000000.0,0.0,0.0,98356.15851169272,72292498.67645085,0.0,0.0,103470298.72919615,0.0,100.65237885054347,31220690.139875107,10064.0,0.0,15167008.41269039,92171226.48705636,0.0,98.5746511537994,107477717.70682012,70743666.78298421,0.0,0.0,102063354.93080716,0.0,0.0012934036414287142,31360902.013429668
10,10.0,101.12,-685.2615502650151,1.0,1.0,2.0,2.0,98.78480876322091,98.78480876322091,0.003917554095050909,0.6884389744980556,25.433835198617622,22.996731302530154,51.56943349885222,2000000.0000000002,0.0,0.0,108177.61601410224,70974951.38767225,0.0,0.0,103513188.81632596,0.0,101.38243862193298,32691226.55679026,10112.0,0.0,12175971.956808016,92320773.29412973,0.0,98.78480876322091,105003432.50870648,70404057.20047359,0.0,0.0,102104568.79641388,0.0,0.004769475357710773,31854114.37771301
11,11.0,101.77,797.1441301791347,1.0,1.0,2.0,2.0,99.21711520198366,99.21711520198366,0.003939515018359613,0.8836208085700525,25.410296043779272,23.069356376334795,51.520347579885936,1999999.9999999998,0.0,0.0,126650.8586596814,70303003.84260094,0.0,0.0,103666177.94446251,0.0,102.4830441467103,33577402.93324904,10177.0,0.0,9933071.493648209,92837572.55189846,0.0,99.21711520198366,103439523.16192351,69521293.00320645,0.0,0.0,102258171.5781866,0.0,0.006428006329113778,32945670.971578404
12,12.0,101.91,102.95049290498719,1.0,1.0,2.0,2.0,99.77330393735151,99.77330393735151,0.003939576503654066,-0.003790656848740548,25.37916622561363,23.16233419792925,51.45849957645712,2000000.0,0.0,0.0,190792.36100998428,73066958.42283669,0.0,0.0,103880406.77584997,0.0,101.6337526048039,30863731.572146125,10191.0,0.0,14920128.88841453,93516628.6682753,0.0,99.77330393735151,108573060.39101109,68996842.84055765,0.0,0.0,102466963.97478485,0.0,0.0013756509776947645,33519476.46469665
