,Price,Dividends,Volume,NT_cash,NT_lending,NT_loan,NT_nav,NT_pnl,NT_signal,NT_stocks,VI_cash,VI_lending,VI_loan,VI_nav,VI_pnl,VI_signal,VI_stocks,TF_cash,TF_lending,TF_loan,TF_nav,TF_pnl,TF_signal,TF_stocks
9142,145.04,0.0050832,31689,10077639498.08,-25998821.2,-9964427630.43,87213046.45,-68955.68,88.454,0.0,10010237630.96,0.0,-9982321401.5,150342563.45,328814.32,129.679,122426333.99,9982006614.95,0.0,-9971138150.74,15569951.42,9700.44,0.0846865,4701487.21
9143,144.82,0.00507027,26920,10077542214.11,-26004656.72,-9964427630.43,87109926.96,-103119.49,89.9866,0.0,10012537377.6,0.0,-9982321401.5,150830079.78,487516.33,130.524,120614103.68,9979808091.31,0.0,-9971138150.74,15588493.61,18542.19,-0.00694011,6918553.04
9144,144.38,0.00510332,12416,10077628927.89,-26052828.36,-9964427630.43,87148469.1,38542.14,89.3127,0.0,10010591874.6,0.0,-9982321401.5,150651193.38,-178886.4,130.369,122380720.28,9981670430.26,0.0,-9971138150.74,15578387.6,-10106.01,-0.050698,5046108.08
9145,145.32,0.00509725,14695,10077387010.26,-25733424.92,-9964427630.43,87225954.91,77485.81,89.0141,0.0,10009941661.88,0.0,-9982321401.5,150283631.44,-367561.94,131.321,122663371.06,9982565401.27,0.0,-9971138150.74,15563304.39,-15083.21,-0.0160547,4136053.86
9146,145.37,0.00513448,12858,10077000287.94,-25512669.84,-9964427630.43,87059987.67,-165967.24,89.8416,0.0,10011006476.49,0.0,-9982321401.5,151086657.79,803026.35,131.168,122401582.8,9981893389.5,0.0,-9971138150.74,15590325.8,27021.41,0.0279662,4835087.04
9147,146.27,0.00512849,4484,10077116273.05,-25638325.42,-9964427630.43,87050317.2,-9670.47,92.4022,0.0,10011828717.78,0.0,-9982321401.5,151133161.96,46504.17,131.036,121625845.68,9980958757.8,0.0,-9971138150.74,15592086.8,1761.0,0.0174301,5771479.74
9148,146.29,0.00512334,8582,10077183243.03,-25864924.1,-9964427630.43,86890688.5,-159628.7,92.8938,0.0,10011498609.77,0.0,-9982321401.5,151890424.77,757262.81,129.293,122713216.5,9981225486.32,0.0,-9971138150.74,15628043.18,35956.38,0.0334076,5540707.6
9149,146.34,0.00505519,16883,10076911423.6,-25597531.62,-9964427630.43,86886261.55,-4426.95,92.0363,0.0,10012130688.39,0.0,-9982321401.5,151911552.0,21127.23,128.888,122102265.11,9980868851.06,0.0,-9971138150.74,15628966.83,923.65,0.0582686,5898266.51
9150,144.58,0.00503934,5413,10076187078.02,-24882629.22,-9964427630.43,86876818.37,-9443.18,92.5887,0.0,10013370261.42,0.0,-9982321401.5,151957602.04,46050.04,129.371,120908742.12,9980357410.06,0.0,-9971138150.74,15631146.42,2179.59,0.0393103,6411887.1
9151,144.13,0.00505823,14245,10076013379.91,-24412622.16,-9964427630.43,87173127.32,296308.95,90.6959,0.0,10013179950.28,0.0,-9982321401.5,150507607.32,-1449994.72,130.058,119649058.54,9980722868.67,0.0,-9971138150.74,15554281.55,-76864.87,0.0879302,5969563.62
9152,144.33,0.00508511,26348,10076314934.2,-24639023.5,-9964427630.43,87248280.27,75152.95,92.1214,0.0,10013910176.8,0.0,-9982321401.5,150139447.68,-368159.64,131.005,118550672.38,9979694629.18,0.0,-9971138150.74,15535829.56,-18451.99,-0.0040858,6979351.12
9153,144.93,0.00512212,9295,10076157239.01,-24516182.46,-9964427630.43,87213426.12,-34854.15,92.2854,0.0,10012170427.98,0.0,-9982321401.5,150307999.12,168551.44,132.218,120458972.64,9981595850.94,0.0,-9971138150.74,15545910.02,10080.46,-0.00613121,5088209.82
9154,146.12,0.00516955,20293,10076767586.66,-25229269.47,-9964427630.43,87110686.76,-102739.36,91.4492,0.0,10011498117.2,0.0,-9982321401.5,150812986.38,504987.26,132.006,121636270.68,9981661400.1,0.0,-9971138150.74,15567248.15,21338.13,0.0470348,5043998.79
9155,147.18,0.00516125,25538,10076346791.4,-25013113.84,-9964427630.43,86906047.13,-204639.63,89.9618,0.0,10012973562.19,0.0,-9982321401.5,151816179.77,1003193.39,131.88,121164019.08,9980613817.3,0.0,-9971138150.74,15608761.32,41513.17,-0.0420653,6133094.76
9156,147.0,0.00515636,7207,10076251799.08,-25099782.84,-9964427630.43,86724385.81,-181661.32,92.1993,0.0,10011202270.74,0.0,-9982321401.5,152699282.2,883102.43,132.118,123818412.96,9982484397.2,0.0,-9971138150.74,15653616.34,44855.02,-0.0613204,4307369.88
9157,147.09,0.00516565,27331,10076418659.77,-25236813.0,-9964427630.43,86754216.34,29830.53,91.1375,0.0,10010676632.67,0.0,-9982321401.5,152552150.17,-147132.03,132.437,124196919.0,9982846784.59,0.0,-9971138150.74,15648527.85,-5088.49,0.0356482,3939894.0
9158,147.15,0.0051781,25335,10076817889.04,-25652348.91,-9964427630.43,86737909.7,-16306.64,93.3314,0.0,10012291171.35,0.0,-9982321401.5,152632680.64,80530.47,134.164,122662910.79,9980836633.15,0.0,-9971138150.74,15650920.53,2392.68,-0.0539654,5952438.12
