,Price,Dividends,Volume,NT_cash,NT_lending,NT_loan,NT_nav,NT_pnl,NT_signal,NT_stocks,VI_cash,VI_lending,VI_loan,VI_nav,VI_pnl,VI_signal,VI_stocks,TF_cash,TF_lending,TF_loan,TF_nav,TF_pnl,TF_signal,TF_stocks
2344,68.03,0.0055239,39192,9958523351.07,0.0,-9963226915.08,80573897.76,344773.85,80.7602,85277461.77,10086531832.3,-51757741.59,-9976353399.54,58420691.17,-205178.47,54.7997,0.0,10002126562.74,0.0,-9975848602.88,43435739.68,67044.34,0.069877,17157779.82
2345,68.4,0.00547998,45723,9958010941.82,0.0,-9963226915.08,81161377.59,587479.83,80.496,86377350.85,10085731022.66,-51308157.97,-9976353399.54,58069465.15,-351226.02,54.4685,0.0,10003449348.1,0.0,-9975848602.88,43554052.34,118312.66,0.0874943,15953307.12
2346,67.34,0.00544685,121165,9956809314.62,0.0,-9963226915.08,81638028.74,476651.15,79.7631,88055629.2,10087283384.93,-53143585.2,-9976353399.54,57786400.19,-283064.96,54.4213,0.0,10003102723.63,0.0,-9975848602.88,43642076.75,88024.41,-0.106176,16387956.0
2347,66.94,0.00544213,36993,9955833692.64,0.0,-9963226915.08,80280359.92,-1357668.82,79.2363,87673582.36,10084190307.6,-49279277.32,-9976353399.54,58557630.74,771230.55,54.3844,0.0,10007127640.65,0.0,-9975848602.88,43389732.73,-252344.02,-0.0529021,12110694.96
2348,67.07,0.00543844,128809,9956185881.96,0.0,-9963226915.08,79766691.94,-513667.98,80.1002,86807725.06,10085088010.15,-49888172.98,-9976353399.54,58846437.63,288806.89,55.0997,0.0,10005881831.01,0.0,-9975848602.88,43318676.05,-71056.68,0.148914,13285447.92
2349,66.67,0.00550997,85811,9959053293.46,0.0,-9963226915.08,79942554.23,175862.29,82.1512,84116175.85,10086544453.38,-51445439.87,-9976353399.54,58745613.97,-100823.66,55.4203,0.0,10001562055.75,0.0,-9975848602.88,43345216.89,26540.84,0.0119778,17631764.02
2350,67.37,0.00554203,45498,9958552873.0,0.0,-9963226915.08,79447763.8,-494790.43,81.3632,84121805.88,10084181323.24,-48793972.91,-9976353399.54,59033950.79,288336.82,55.4157,0.0,10004415671.17,0.0,-9975848602.88,43241735.32,-103481.57,0.0119635,14674667.03
2351,68.28,0.00554158,82355,9959892078.52,0.0,-9963226915.08,80338097.11,890333.31,80.4596,83672933.67,10082631801.17,-47744714.78,-9976353399.54,58533686.85,-500263.94,55.6729,0.0,10004646371.46,0.0,-9975848602.88,43397049.69,155314.37,0.0522778,14599281.11
2352,68.41,0.00556729,38612,9957825886.76,0.0,-9963226915.08,81475029.68,1136932.57,80.7919,86876058.0,10085392952.6,-51154488.36,-9976353399.54,57885064.7,-648622.15,55.5446,0.0,10003955568.62,0.0,-9975848602.88,43595396.1,198346.41,0.106984,15488430.36
2353,68.32,0.00555446,85582,9958946842.16,0.0,-9963226915.08,81647607.37,172577.69,79.0082,85927680.29,10085596626.91,-51459712.25,-9976353399.54,57783515.12,-101549.58,55.9779,0.0,10002635115.03,0.0,-9975848602.88,43626044.11,30648.01,0.0529256,16839531.96
