(2, 101.885)
(3, 101.913)
(4, 100.534)
(5, 99.8323)
(6, 102.464)
(7, 102.619)
(8, 101.789)
(9, 100.956)
(10, 100.92)
(11, 100.423)
(12, 98.4143)
(13, 100.302)
(14, 100.219)
(15, 98.5998)
(16, 97.8959)
(17, 98.8181)
(18, 99.829)
(19, 101.521)
(20, 102.185)
(21, 101.457)
(22, 101.769)
(23, 101.042)
(24, 98.9544)
(25, 98.4604)
(26, 95.9975)
(27, 95.6788)
(28, 94.8204)
(29, 95.4103)
(30, 94.3954)
(31, 95.3597)
(32, 93.4974)
(33, 93.5184)
(34, 93.9921)
(35, 93.1556)
(36, 93.1228)
(37, 92.6997)
(38, 92.0673)
(39, 92.3339)
(40, 93.2985)
(41, 92.2092)
(42, 91.471)
(43, 90.4814)
(44, 89.7642)
(45, 89.025)
(46, 88.4984)
(47, 88.9433)
(48, 90.1363)
(49, 91.2705)
(50, 92.8205)
(51, 92.0178)
(52, 91.4364)
(53, 92.2445)
(54, 90.6765)
(55, 90.9272)
(56, 89.3864)
(57, 88.6301)
(58, 89.0458)
(59, 88.4968)
(60, 87.7292)
(61, 88.7648)
(62, 88.2457)
(63, 88.5856)
(64, 87.7117)
(65, 87.4956)
(66, 87.0721)
(67, 88.324)
(68, 88.8819)
(69, 89.5737)
(70, 89.7205)
(71, 90.2191)
(72, 91.6908)
(73, 92.5311)
(74, 90.0675)
(75, 89.8401)
(76, 89.7319)
(77, 88.7711)
(78, 89.8107)
(79, 90.1022)
(80, 90.0657)
(81, 88.9156)
(82, 88.2157)
(83, 89.0147)
(84, 89.9214)
(85, 89.6604)
(86, 89.7617)
(87, 90.9702)
(88, 90.3891)
(89, 91.9747)
(90, 92.8449)
(91, 94.5717)
(92, 96.1686)
(93, 95.5834)
(94, 97.8883)
(95, 97.2725)
(96, 99.0824)
(97, 98.9353)
(98, 98.995)
(99, 98.9094)
(100, 97.709)
(101, 97.6728)
(102, 97.0991)
(103, 97.0467)
(104, 97.2939)
(105, 99.356)
(106, 98.7159)
(107, 98.0697)
(108, 97.9081)
(109, 98.6085)
(110, 97.3684)
(111, 97.723)
(112, 97.426)
(113, 99.4896)
(114, 100.869)
(115, 99.2564)
(116, 100.465)
(117, 101.871)
(118, 100.363)
(119, 98.7442)
(120, 98.0555)
(121, 99.4294)
(122, 98.1596)
(123, 97.4343)
(124, 96.9729)
