,Gen,Price,Mismatch,Num_NT,Num_VI,Num_TF,Mean_TF,Mean_VI,Mean_NT,Dividends,RDiv,WShare_TF,WShare_VI,WShare_NT,Pos+,Pos-,Rep,Volume,NT_cash,NT_lending,NT_loans,NT_nav,NT_pnl,NT_signal,NT_stocks,NT_returns,VI_cash,VI_lending,VI_loans,VI_nav,VI_pnl,VI_signal,VI_stocks,VI_returns,TF_cash,TF_lending,TF_loans,TF_nav,TF_pnl,TF_signal,TF_stocks,TF_returns
0,0.0,90.25,9663.552346075885,32.0,36.0,32.0,2.0,86.28754478830311,86.28754478830312,0.003984918103271502,0.07017902154101616,32.0,36.0,32.0,50000000.00000003,162587.2089953606,0.0,34943187.88275291,84503438.79831289,458546.7378697279,0.0,100000000.0,100000000.0,86.05526051962316,12143293.104092361,0.0,6203857.079998784,0.0,0.0,100000000.0,100000000.0,86.28754478830311,88925315.3669229,0.0,64321102.08018045,0.0,0.0,100000000.0,100000000.0,0.0,30807810.484000657,0.0
1,1.0,103.88,1014.7598199096392,32.0,36.0,32.0,2.0,100.92319568081025,100.92319568081025,0.0040251218661165235,1.595307832082692,32.04941418328203,36.05568945648563,31.894896360232387,50000000.00000002,16152.499332026753,0.0,4150382.938306161,78670327.81156074,52435.05095659185,0.0,94670273.52652395,-5329726.473476038,100.98887512602239,18578311.098561935,-0.053297264734760375,6287714.497245939,0.0,0.0,95129172.44692178,-4870827.553078283,100.92319568081025,102275609.84529878,-0.04870827553078281,70478457.10601304,0.0,0.0,95128912.56418116,-4871087.435818864,0.0,29307135.098263618,-0.0487108743581887
2,2.0,107.28,26199.44888599112,32.0,36.0,32.0,2.0,101.94140787979667,101.94140787979666,0.004019690492988064,-0.2204738703728881,31.326417369304977,38.3423340585138,30.331248572181135,50000000.00000004,82905.71128262489,0.0,16312811.19842597,86471753.17661947,277941.3970749999,0.0,96615631.63733599,1945358.1108120363,102.43936598578874,11903446.751200736,0.02074277568238131,23310865.28646508,0.0,0.0,108563324.34254467,13434151.895623028,101.94140787979667,88604192.03865866,0.14122010683020225,43312960.82747578,0.0,0.0,99785592.20427659,4656679.640095502,0.03273007316134002,57435726.735308394,0.048951254824381125
3,3.0,106.42,-16201.337138356932,32.0,36.0,32.0,2.0,101.80385134316198,101.80385134316198,0.00402003813592269,0.007460825207318934,31.130397727813907,38.90328868653956,29.966313585646503,50000000.00000001,52648.41950638565,0.0,10787698.856041556,83572920.04128891,175088.9001209238,0.0,96981310.39782012,365678.76048412314,102.31549907138482,14512962.543010456,0.0037314759385355745,10928986.930549918,0.0,0.0,111915057.32512379,3351732.9825790375,101.80385134316198,100280004.86830534,0.03087352936985856,60256731.77044486,0.0,0.0,100748687.56278418,963095.3585074991,-0.008016405667412352,40035431.03920508,0.009651647469665686
4,4.0,105.7,-15116.95970977575,32.0,36.0,32.0,2.0,101.81265584930453,101.81265584930453,0.004027449573304564,0.28639793835564675,31.10741085556013,38.805143537946456,30.0874456064934,50000000.00000005,213508.3748947155,0.0,7863874.334186625,81860282.61778161,705244.8508241072,0.0,97003733.5252403,22423.12742018001,101.90917444711758,17407422.265953485,0.0004241620183427542,1927857.3959220962,0.0,0.0,111208991.79885532,-706065.5262684524,101.81265584930453,108606889.9785098,-0.006308941291226479,71577972.28673142,0.0,0.0,100292162.80964993,-456524.75313420594,-0.006765645555346755,28447249.142291423,-0.00453132208645111
5,5.0,105.83,14732.594306047416,32.0,36.0,32.0,2.0,102.00036006951255,102.00036006951254,0.003999479945175666,-1.1087130375928658,31.183494982183642,38.767394385350805,30.0491106324655,49999999.999999985,276564.7505350481,0.0,1300618.7698668926,81884118.50912288,914651.4859101294,0.0,96386532.24966675,-617201.2755735088,102.00400515549143,16804770.062541615,-0.006390176606285483,1938489.6886169692,0.0,0.0,110534747.37443173,-674244.4244235009,102.00036006951255,108734018.84338151,-0.006062858888632067,71345192.50313808,0.0,0.0,100025221.42902279,-266941.3806271404,0.0012298959318826075,28718932.41792762,-0.002661637491393851
6,6.0,105.28,19794.387562219115,32.0,36.0,32.0,2.0,101.29199312705134,101.29199312705136,0.003976252787967484,-0.928187329668245,31.195026024570538,38.81496750115545,29.990006474274075,49999999.99999997,287305.5875787641,0.0,2750083.2195913894,82693653.81991866,945235.3831341339,0.0,96198789.89239106,-187742.35727572208,101.24697601622728,17006438.888597187,-0.0020712834992179545,3502794.2273038663,0.0,0.0,110672508.5319986,137761.1575666964,101.29199312705134,106608787.35126682,0.0012463153970944196,68757610.65200974,0.0,0.0,100064124.92106576,38903.49204291403,-0.005197014079183604,31161166.800705202,0.00038893682500387873
7,7.0,104.6,-6748.411897320097,32.0,36.0,32.0,2.0,100.70373538340895,100.70373538340895,0.0039555327330317355,-0.8334809294523614,31.23516880573843,38.72418344653743,30.04064774772419,50000000.000000015,377769.1520839259,0.0,2378091.287979223,81755260.19396223,1234832.9158743327,0.0,96097601.24903843,-101188.643352665,100.800460814353,18713581.135998797,-0.0007363809770790114,2518971.024060383,0.0,0.0,110111581.57857072,-560926.9534278959,100.70373538340895,106908170.57426512,-0.005068349501319171,70525554.71432494,0.0,0.0,99918777.45271493,-145347.4683507532,-0.006458966565349611,29195856.346827034,-0.0014525432413006031
8,8.0,104.02,-13849.969345460282,32.0,36.0,32.0,2.0,100.1789732416022,100.17897324160218,0.003992918222333746,1.494101704775334,31.304578786448666,38.645330591240864,30.050090622310563,49999999.99999999,464182.90676241415,0.0,1743302.17161076,81588754.37686327,1508884.5612945724,0.0,95725211.95108695,-372389.2979514478,100.29260792488208,18130495.657895546,-0.003627164877643848,2167954.5821020748,0.0,0.0,109427141.59832563,-684439.9802450687,100.1789732416022,106670568.89203106,-0.006215876390411154,70825296.66147321,0.0,0.0,99721411.06115197,-197366.3915630281,-0.005544933078393877,28738138.846410397,-0.00197526827884207
9,9.0,104.83,5065.459281074029,32.0,36.0,32.0,2.0,101.12580902458909,101.12580902458907,0.003990168913729663,-0.11557156111917524,31.369998834441617,38.57889574870583,30.05110541685249,50000000.00000001,565619.1653327731,0.0,1625774.913643163,82016619.19479422,1852933.0344323313,0.0,95377475.52691807,-347736.42416887544,100.94623054464869,20842964.85893377,-0.003395808820279451,1499731.4006988606,0.0,0.0,108838523.47413303,-588618.1241925061,101.12580902458909,108173608.74298038,-0.005379087085662424,70817514.04872607,0.0,0.0,99563435.50788356,-157975.5532683283,0.0077869640453758215,28973617.20622087,-0.0015841688518772896
