,Gen,Price,Mismatch,Num_NT,Num_VI,Num_TF,Mean_TF,Mean_VI,Mean_NT,Dividends,RDiv,WShare_TF,WShare_VI,WShare_NT,Pos+,Pos-,Rep,Volume,NT_cash,NT_lending,NT_loans,NT_nav,NT_pnl,NT_signal,NT_stocks,NT_returns,VI_cash,VI_lending,VI_loans,VI_nav,VI_pnl,VI_signal,VI_stocks,VI_returns,TF_cash,TF_lending,TF_loans,TF_nav,TF_pnl,TF_signal,TF_stocks,TF_returns
0,0.0,104.82,9133.55819578562,33.0,35.0,32.0,2.0,101.66413213697375,101.66413213697373,0.003943748487719429,-1.5706630219878193,32.0,35.0,33.0,50000000.00000001,0.0,0.0,35496570.99849711,85431459.88485637,0.0,0.0,100000000.0,100000000.0,101.43503409901928,16982569.044871084,0.0,10482.0,0.0,3160089.8759600106,100000000.0,100000000.0,101.66413213697375,105563579.60089242,0.0,71606189.98602527,0.0,0.0,100000000.0,100000000.0,0.0,30807810.484000657,0.0
1,1.0,103.31,3442.171493468777,33.0,35.0,32.0,2.0,99.88052201505663,99.88052201505663,0.003944374610029892,0.018934640927463626,32.000000209059294,34.9999904050185,33.00000938592218,49999999.99999994,0.0,0.0,1938183.9262349145,86966871.81465879,0.0,0.0,102414028.92972748,2414028.9297274593,99.51670522392051,15206543.699082538,0.024140289297274593,10331.0,0.0,3517947.637523052,102413971.7249323,2413971.7249323577,99.88052201505663,104404862.7930895,0.02413971724932359,70426884.90785319,0.0,0.0,102414000.4700259,2414000.470025867,0.0,31547308.130379435,0.024140004700258674
2,2.0,103.02,8108.52840669587,33.0,35.0,32.0,2.0,99.89637937092225,99.89637937092225,0.003958576222668365,0.5652890603208435,32.097951223652714,34.73636859189245,33.16568018445483,49999999.99999995,19503.2619708797,0.0,3781132.949071727,84659747.45422351,60885.63782545535,0.0,102173415.51374131,-240613.4159861225,99.76742167599966,18021107.05821589,-0.0023494186065593664,10302.0,0.0,5678890.909323421,100897246.15556656,-1516725.569365859,99.89637937092225,106276845.41299294,-0.014809752456818523,75119514.88743846,0.0,0.0,101974193.03823268,-439807.4317932129,-0.0028070854709127957,26770131.585330594,-0.0042944073053950696
3,3.0,103.53,13411.722419635873,33.0,35.0,32.0,2.0,100.25605354593704,100.25605354593704,0.0039435585024903685,-0.608502237487493,32.12222540257186,34.69183393587084,33.18594066155731,50000000.00000004,0.0,0.0,3239026.3666988434,85693408.85908246,0.0,0.0,102073874.72133468,-99540.79240666104,100.09348035244554,16531587.711349983,-0.0009743405286907163,10353.0,0.0,3310932.010724414,100608256.5036696,-288989.6518969834,100.25605354593704,104439030.91171603,-0.0028641976159726897,71538936.74011229,0.0,0.0,101889646.47276896,-84546.56546363235,0.004950495049504955,30487235.11298085,-0.0008290976662294718
4,4.0,103.41,19845.46288910901,33.0,35.0,32.0,2.0,99.87571039385092,99.87571039385091,0.003960135775814719,0.6610378350491225,32.077056308424666,34.77901537350818,33.14392831806721,50000000.0,41559.99895298801,0.0,2915549.309084272,85405140.11736389,130233.92399177243,0.0,102224996.57043242,151121.84909777253,100.02104068032409,17888903.58220944,0.0014915840882384621,10341.0,0.0,913241.6107725166,101138451.90099157,530195.3973221481,99.87571039385092,101924297.50649343,0.0052698994669767504,69091983.20286603,0.0,0.0,102026171.85309313,136525.3803240955,-0.0011590843233845183,32902852.991124004,0.0013399337916103489
5,5.0,103.72,21784.191078527714,33.0,35.0,32.0,2.0,100.29555124282443,100.29555124282444,0.003999541245401617,1.5733302161006717,32.09841511801424,34.77257400431081,33.12901087767496,50000000.0,64903.80820201002,0.0,2135890.9818876977,84466563.48329996,203994.63596098422,0.0,102079633.80090216,-145362.76953028684,100.5310050792375,18945538.09616233,-0.0014215080734854522,10372.0,0.0,1862083.8287538346,101021396.89572091,-117055.00527082384,100.29555124282443,103182633.74132313,-0.00115737390745721,71034114.27650239,0.0,0.0,101994836.19398993,-31335.659103125334,0.002997775843728956,31063373.783105258,-0.00030713353773819296
6,6.0,104.89,-2711.771177295537,33.0,35.0,32.0,2.0,101.29354563441497,101.29354563441498,0.0040133497535764975,0.5418027936267942,32.08822268310241,34.832982827362954,33.078794489534666,49999999.99999996,83926.6439757901,0.0,2474302.0924200905,82836824.05706114,266759.566261231,0.0,102059892.51343083,-19741.28747132872,102.0846474116109,20895975.488667313,-0.0001993879998359904,2370990.838121256,0.0,0.0,101330921.9125694,309525.01684851944,101.29354563441497,101989949.52788974,0.0030639550269536096,70080676.58746575,0.0,0.0,102097488.05960763,102651.86561766267,0.011280370227535697,32371237.251930956,0.0010064417910571775
7,7.0,105.55,19801.08016064523,33.0,35.0,32.0,2.0,101.64326393137308,101.6432639313731,0.004040966842411503,1.0861052626033612,31.818347987747355,35.449784664798806,32.731867347453885,49999999.99999999,122124.20305230684,0.0,2516235.175609938,83899092.90231442,390612.41309609066,0.0,102199617.22257832,139724.70914747272,102.53207181589582,21271521.55344501,0.0014127029090633618,3384587.5879432713,0.0,0.0,104360940.3660111,3030018.4534416795,101.64326393137308,101622129.51062252,0.02990220947615627,67761454.94468544,0.0,0.0,102451913.83939663,354425.77978906035,0.006292306225569533,34898173.490952365,0.0034714446606378393
8,8.0,106.2,-27032.704312628142,33.0,35.0,32.0,2.0,102.34270236107169,102.3427023610717,0.004048543360341971,0.29136719468615185,31.792403014023883,35.56794830210975,32.63964868386637,50000000.0,153912.5182608287,0.0,2060727.8665500768,83246150.66276541,495318.46785757603,0.0,102201635.79376093,2018.5711825977671,103.34001525973721,22147368.631064907,1.8966786753113485e-05,2510186.386929413,0.0,0.0,105006717.09856592,645776.7325547934,102.34270236107169,103126372.84707533,0.006187915998935503,69295794.89060207,0.0,0.0,102659628.43563783,207714.59624107182,0.006158218853623998,33582774.046587,0.002027435002987689
9,9.0,106.37,21716.60193259275,33.0,35.0,32.0,2.0,102.53458745929946,102.53458745929946,0.004074912223357031,1.0276659058972488,31.76966659529721,35.67960647784683,32.55072692685594,50000000.0,179915.55792383774,0.0,1502174.7024182973,83917824.2900147,579927.8150411702,0.0,102213671.29493457,12035.501173652934,103.36665870113039,21422189.003067452,0.0001752821618812782,1747870.6554196482,0.0,0.0,105636559.2340046,629842.1354388148,102.53458745929946,104057823.99422595,0.005998112814512677,69362293.38760921,0.0,0.0,102878568.93718909,218940.50155125558,0.0016007532956685555,33574071.781546734,0.0021326835571835313
10,10.0,106.9,-13868.851564981233,33.0,35.0,32.0,2.0,103.20241295859012,103.2024129585901,0.0040942638906716925,0.7476085969673874,31.768776170359004,35.71566699462189,32.51555683501913,49999999.99999999,287647.5204000629,0.0,2292226.2837861874,83725573.570605,931803.6342656581,0.0,102163456.5079722,-50214.78696236917,103.84803241887072,22525745.973466177,-0.0005137312073260705,220490.50403079117,0.0,0.0,105805694.64964546,169135.4156409055,103.20241295859012,106107755.9882387,0.0016011068219880108,70880911.80289215,0.0,0.0,102936365.16915596,57796.231966882944,0.004982607878161183,32226786.658917524,0.000561790784649907
11,11.0,107.43,-8371.139439263126,33.0,35.0,32.0,2.0,103.69251891724059,103.69251891724058,0.004109305933843999,0.5769502281003164,31.77478742451749,35.83919768996851,32.38601488551405,50000000.0,373388.4712708907,0.0,1792606.8174539409,84056681.65734372,1215549.1960191452,0.0,101906524.09564395,-256932.41232823423,104.17457826435769,22246487.641669452,-0.002431288710274895,479277.8287540413,0.0,0.0,106328246.4922695,522551.84262390435,103.69251891724059,106379128.75908695,0.004938787504342093,69976464.70623755,0.0,0.0,103107698.46180964,171333.29265370965,0.004957904583723138,33295061.341682695,0.0016644583512557176
12,12.0,107.81,-18024.69707524604,33.0,35.0,32.0,2.0,104.07347808055968,104.07347808055968,0.004112014658659309,0.09837150413809213,31.77160138914037,35.95715072045447,32.27124789040512,50000000.00000004,303092.5889326279,0.0,1459418.4047893914,84556695.91318816,990194.3034189886,0.0,101716940.15728652,-189583.93835741462,104.50120054381681,21735536.08843001,-0.001975255590491733,163637.8344322332,0.0,0.0,106858406.58784093,530160.0955714434,104.07347808055968,107075141.94277099,0.004986070146562496,70051115.96997404,0.0,0.0,103271526.04792024,163827.5861106217,0.003537187005491882,33342232.298118718,0.0015888977113702343
13,13.0,107.87,-6077.470431543865,33.0,35.0,32.0,2.0,104.14208003359774,104.14208003359774,0.004132701140668451,0.7923371819223024,31.72720466819751,35.99226189271854,32.28053343908389,50000000.000000045,405021.78435043927,0.0,1455435.4235851858,84304997.2427142,1323930.299329754,0.0,102008774.65449768,291834.49721112486,104.64454406783351,22864977.577256393,0.0031749087783405415,10787.0,0.0,291450.8323129483,107238779.7772032,380373.189362362,104.14208003359774,107583156.34717333,0.003559600049338971,70465186.82211643,0.0,0.0,103393348.26809275,121822.22017252445,0.0005565346442817365,32950776.03565278,0.0011796302895339832
14,14.0,108.33,-14284.568383777063,33.0,35.0,32.0,2.0,104.66599189769397,104.66599189769398,0.004124471456767193,-0.3223863879785776,31.757307924122266,36.03993313082026,32.20275894505762,50000000.00000005,549905.6144033824,0.0,1772607.6248986209,83400015.66129228,1805190.1578278304,0.0,101688775.87023057,-319998.7842670851,105.24754231167172,24992208.81454849,-0.002970644001944429,10833.0,0.0,835384.3958096503,107302492.51486053,63712.73765720427,104.66599189769397,108589955.06558083,0.0005941203153334299,71509741.36263986,0.0,0.0,103415962.85776934,22614.589676499367,0.004264392324093702,32050794.335460275,0.00021872383528833103
15,15.0,108.26,-11386.86033165962,33.0,35.0,32.0,2.0,104.45756452798831,104.45756452798831,0.00406574666893859,-2.26650235084686,31.778754693245574,36.169292391225405,32.05195291552909,50000000.00000001,616824.3978421097,0.0,1876673.708744414,83152992.08157787,2023557.8578905088,0.0,101285656.69068448,-403119.17954611144,105.138175528038,25296122.40540717,-0.004079438717000186,1136210.594511804,0.0,0.0,107765403.66977118,462911.15491071343,104.45756452798831,107398487.81306073,0.004314076439991404,70321014.82910469,0.0,0.0,103560535.69810008,144572.84033079445,-0.0006461737284223501,33222848.54102113,0.0013979741263892632
16,16.0,106.87,13942.947238529741,33.0,35.0,32.0,2.0,102.97028345978391,102.97028345978393,0.004068116116637683,0.08624567681747632,31.716047980187085,36.36146485894141,31.92248716087143,50000000.00000001,698924.3175227005,0.0,1618826.7604870284,82216424.22726087,2263455.8125348794,0.0,101059712.48249297,-225944.2081914675,103.92191226513786,26198071.677379277,-0.0023684918224187506,795604.0675327665,0.0,0.0,108534698.40757239,769294.7378012836,102.97028345978391,106364235.9651485,0.007138605819717954,71424593.15283272,0.0,0.0,103543863.3701258,-16672.32797423005,-0.012839460557916182,31696747.481924657,-0.00016099113298171088
17,17.0,106.63,-26425.658107787895,33.0,35.0,32.0,2.0,103.03029278183116,103.03029278183116,0.004056193022805463,-0.4715284307871248,31.82120535531775,36.167475710126126,32.011318934556186,49999999.999999985,531390.1281616949,0.0,3132939.938331276,81476690.74884139,1717034.2232085306,0.0,100593873.37266117,-465839.1098318285,103.98514950556283,25154633.968297787,-0.0044091898699496045,10663.0,0.0,1612554.9583803432,107159840.03268136,-1374858.374891147,103.03029278183116,108526996.14955342,-0.012667454694794853,75385842.70421569,0.0,0.0,103121340.6347574,-422522.7353684753,-0.0022457190979695563,27668359.781849056,-0.004080615901476788
18,18.0,106.47,10269.25761044801,33.0,35.0,32.0,2.0,102.72832503725897,102.72832503725898,0.004102319272174008,1.7989503556358053,31.780762407314036,36.06586501918029,32.153372573505564,49999999.99999996,760548.6540100314,0.0,2603486.785076242,82077537.94869846,2453806.5209832736,0.0,101102982.31691584,509108.9442546702,103.55467798401135,25320800.80610717,0.006046870637950261,1856812.4007306788,0.0,0.0,106925104.1911731,-234735.841508165,102.72832503725897,106522178.12307777,-0.002190520641282929,71999932.76817173,0.0,0.0,103054202.48606478,-67138.14869263768,-0.0015005158023070342,31016804.97249475,-0.0006510596960762222
19,19.0,107.73,-12907.467580610086,33.0,35.0,32.0,2.0,103.89653185366059,103.89653185366058,0.0041228081095224245,0.786576457950692,31.69427299502646,36.470034074461815,31.83569293051173,49999999.99999994,907961.0038013221,0.0,1530218.8876395312,81058469.30594923,2964079.967864134,0.0,100340750.2690756,-762232.0478402467,105.03463087886371,26835335.62886238,-0.007885342397641411,2239649.305856302,0.0,0.0,108378990.52380846,1453886.3326352686,103.89653185366059,107404157.7570609,0.013597240270496637,72118638.39542395,0.0,0.0,103016737.7406664,-37464.745398283005,0.01183431952662728,31269220.483221892,-0.0003635440816045237
20,20.0,108.57,-7084.667074476485,33.0,35.0,32.0,2.0,104.41543811155546,104.41543811155546,0.0041118248632947135,-0.4291684217472286,31.666671430012457,36.731194116666416,31.60213445332122,49999999.999999955,831486.2302716387,0.0,3217621.1627798975,81761894.11051017,2735589.6975936913,0.0,100050573.03442703,-290177.2346485695,105.76848196607239,27167615.306387268,-0.0035105638423756757,5366778.925686668,0.0,0.0,109643807.06291722,1264816.5391087532,104.41543811155546,105118681.37252511,0.011670311127606426,68221265.04418737,0.0,0.0,103387858.87864588,371121.13797943294,0.007797270955165692,35414456.6880045,0.0036025324245239666
21,21.0,108.26,20308.558249081063,33.0,35.0,32.0,2.0,104.13727322095473,104.13727322095473,0.004127686980805994,0.6061199728812261,31.591560482834865,36.83704611875296,31.571393398412173,50000000.00000006,909022.5953541095,0.0,1889312.7151505216,81940158.56246427,2982145.035546542,0.0,100431092.23007007,380519.1956430457,105.38694032049065,26878718.48837654,0.004763451421230682,4058983.7479672865,0.0,0.0,110485460.29821168,841653.2352945656,104.13727322095473,106130538.5025183,0.007676249647292873,69226306.15939957,0.0,0.0,103635721.732192,247862.85354603827,-0.0028553007276410636,34312351.80897197,0.002397407744336533
22,22.0,108.63,-14262.90403471206,32.0,36.0,32.0,2.0,104.53900182566262,104.53900182566262,0.00409998929178804,-1.071482694207991,31.63196684556587,37.54265689288626,30.825376261547824,50000000.00000006,621898.6590325648,0.0,3330597.7006293028,81071029.61482133,2111151.6040846105,0.0,100898502.61518455,-207902.60178122995,106.26361694685366,28313179.773830164,-0.0020359605026172957,4832950.795930683,0.0,0.0,109231731.17131011,-374162.914434755,104.53900182566262,105512223.61765017,-0.003700850448045025,72635377.04083231,0.0,0.0,103538657.96837153,-97063.76382035017,0.0034176981341214052,31024603.335923202,-0.0009365859782515485
23,23.0,108.16,-5845.993548174432,32.0,36.0,32.0,2.0,103.83752209227225,103.83752209227227,0.004067853332256289,-1.2505215960707485,31.519295071609648,37.7460265944253,30.734678333965082,49999999.999999985,791670.7378684743,0.0,2899525.087484552,80874342.188342,2675847.0939954426,0.0,101079549.70904155,181047.09385699965,105.68635335598964,28459209.10278821,0.0018504596801262889,6384878.830552581,0.0,0.0,110345174.41358083,1113443.2422707374,103.83752209227225,103507931.09031552,0.013232518868525533,70534121.17659639,0.0,0.0,103659980.3767556,121322.4083839953,-0.0043266132744177455,32995667.505837224,0.0011717595221396066
